fid,Start_time,End_time,Width,Length,Fatalities,Injuries,Damage,Narrative,F_scale,Wind,Source,State_1,State_2,State_3,SPC_id,NCEI_id,Tornado_type,Storm_morphology
"940",2022/08/04 18:55:00,,,,,,,,,,,FL,,,,,Landspout,Multicell
"941",2022/08/04 23:20:00,2022/08/04 23:27:00,100,2.3,0,1,250000,"A waterspout touched down in the Chesapeake Bay just to the southwest of Smith Island before moving ashore and capsizing several boats longer than 25 feet in Sheep Pen Gut. After crossing Sheep Pen Gut, the tornado crossed Marsh Road just to the northwest of Calvary Church, where power poles were downed. The tornado tracked to the north northeast and reached high-end EF-1 intensity with estimated winds of 110 mph when it arrived at the intersection of Marsh Road and Smith Island Road. The tornado ripped the roof off of Island Time Bed and Breakfast and another block building right after this point. In addition, a mobile home just north of these two buildings was completely destroyed and one resident was injured. Multiple trees were downed in this area as well. The tornado continued to track to the north northeast, crossing Smith Island Road and moving well into the marsh east of Smith Island Road. The tornado weakened some before reaching the north side of the island, but still severely damaged an outbuilding just west of the local post office. It also overturned a golf cart, which fell into Levering Creek. The tornado moved back into the Chesapeake Bay shortly after crossing Levering Creek.",1,110,Broadcast Media,MD,,,621871,"1037053, 1053279",Tornado,Supercell
"942",2022/08/05 17:26:00,,,,,,,,,,,UT,,,,,Landspout,Multicell
"943",2022/08/05 21:43:00,2022/08/05 21:50:00,25,0.01,0,0,0,A landspout developed briefly near Denver International Airport observed. It touched down in an open field and did no damage.,,,Official NWS Observations,CO,,,621872,"1037441",Landspout,Multicell
"944",2022/08/08 21:00:00,2022/08/08 21:01:00,25,0.05,0,0,0,Broadcast media relayed video of weak landspout tornado briefly touching down near Interstate 75 and Jones Loop Road interchange near Charlotte Park.,,,Broadcast Media,FL,,,621873,"1043500",Landspout,Multicell
"945",2022/08/08 23:49:00,2022/08/08 23:55:00,40,1.38,0,0,,"The landspout tornado damaged some out buildings and ripped half the roof off an older mobile home which was one of the main damage indicators for this event. Several empty semi tractor trailers at a trucking company were flipped and pushed several yards. Toward the end of the damage path, the tornado destroyed a poorly constructed and old cabin/storage building. Power lines along the path were not damaged and a mobile home directly adjacent to the poorly constructed destroyed building only showed very minor damage. These factors suggest a high end EF0 rating with maximum winds around 85 mph. This survey utilized pictures and information provided by Moore County Emergency management. The landspout was well documented on video by numerous witnesses.",0,85,NWS Storm Survey,TX,,,621874,"1054538",Landspout,Multicell
"946",2022/08/11 22:50:00,,,,,,,,,,,UT,,,,,Landspout,Multicell
"947",2022/08/15 17:35:00,2022/08/15 17:36:00,100,0.21,0,0,50000,"A small EF0 tornado formed as a cluster of storms was moving northward through northern Frio County. An NWS damage survey found a small tornado touched down along CR 2537 on the south side of Moore and then moved NW for about a quarter mile before dissipating. Two residences on CR 2537 have roof damage, along with several trees that were damaged. A neighboring property across the street had its fence blown down. Several items from the properties were thrown about a 100 yards. As the tornado moved quickly to the NW, it appears to have dissipated along CR 2518. Maximum winds are estimated to be 75 mph.",0,75,NWS Storm Survey,TX,,,621875,"1065930",Tornado,Tropical Cyclone
"948",2022/08/15 22:08:00,2022/08/15 22:09:00,25,0.35,0,0,0,"This was the first of three tornadoes this day in McLean County, all near Ruso and in less than a one hour period of time. The tornado touched down in an open field east of Ruso and impacted no structures. There was no damage to evaluate. By National Weather Service policy the tornado is rated EF Unknown.",,,Law Enforcement,ND,,,621876,"1052505",Landspout,Supercell
"949",2022/08/15 22:10:00,2022/08/15 22:35:00,100,2.24,0,0,25000,"This was the second of three tornadoes this day in McLean County, all near Ruso and in less than a one hour period of time. Hardwood trees were snapped and an animal shelter was destroyed shortly after development. Based on the damage done the tornado was rated EF-1, with winds estimated to be approximately 110 MPH.",1,110,Emergency Manager,ND,,,621877,"1052507",Tornado,Supercell
"950",2022/08/15 22:30:00,2022/08/15 22:50:00,100,2.27,0,0,260000,"This was the third of three tornadoes this day in McLean County, all near Ruso and in less than a one hour period of time. The tornado formed in an open field and approached a farmstead, passing just to the west and south of it. Near the farmstead the tornado destroyed three small wooden granaries, flipped a large seed cart attached to an air seeder, flipped anhydrous ammonia tanks, and tossed hay bales. The tornado continued on south of the farmstead where it tossed multiple hay bales before dissipating. Based on the damage done the tornado was rated EF-2, with winds estimated to be approximately 120 MPH.",2,120,Emergency Manager,ND,,,621878,"1052528",Tornado,Supercell
"951",2022/08/15 23:41:00,,,,,,,,,,,CO,,,,,Landspout,Multicell
"952",2022/08/17 23:16:00,,,,,,,,,,,NV,,,,,Landspout,Multicell
"953",2022/08/18 18:20:00,2022/08/18 18:25:00,10,1.18,0,0,0,A landspout developed over the marsh north of Johnsons Bayou. The tornado slowly moved through Cameron Meadows Oil Field.,0,,Law Enforcement,LA,,,621879,"1053324",Landspout,Multicell
"954",2022/08/20 17:20:00,2022/08/20 17:21:00,10,0.15,0,0,,The Jones County Emergency Manager reported that sheriff's deputies followed a mini supercell that had produced funnel clouds. A funnel cloud eventually touched down and the officers reported some damage to crops at this location. The tornado is rated as an EF-U.,,60,Emergency Manager,IA,,,621880,"1052915",Tornado,Supercell
"955",2022/08/20 18:17:00,2022/08/20 18:18:00,10,0.27,0,0,0,A chaser reported that a funnel cloud lasted 2 minutes at this location and eventually touched down briefly. There is photo and eyewitness evidence of the brief ground based rotation. The tornado is rated an EF-U.,,,Storm Chaser,IL,,,621881,"1052923",Tornado,Supercell
"956",2022/08/20 18:55:00,2022/08/20 19:05:00,10,2.83,0,0,,"Eyewitness reports along with video and photographic evidence from storm chasers support an intermittent tornado path of nearly 3 miles. There are also reports of minor crop damage associated with tornado. Times were based on detailed information from chasers. With no observable damage to assess, this tornado is rated an EF-U.",,,Storm Chaser,IL,,,621882,"1052918",Tornado,Supercell
"957",2022/08/20 19:29:00,2022/08/20 19:33:00,20,1.71,0,0,15000,"A brief tornado touched down about one mile south-southeast of Stone, at the homestead immediately west-northwest of the intersection of county roads West 400 North and North 100 West. This landspout damaged the roof and metal encasing structure of an old outbuilding. Parts of the roof were thrown downwind, with a few 2x4 beams scattered between the building and thrown roof. Eyewitnesses reported the landspout lifted and then dropped in open fields for a few minutes, with no further damage noted, while tracking to the east-northeast.",0,70,Emergency Manager,IN,,,621883,"1040302",Landspout,Multicell
"958",2022/08/21 23:38:00,2022/08/21 23:43:00,50,0.01,0,0,0,Several photos from different angles showed a tornado over the open desert. The location is estimated.,,,Public,AZ,,,621884,"1055157",Tornado,Supercell
"959",2022/08/22 15:26:00,2022/08/22 15:30:00,200,3.78,0,0,25000,"An EF-1 tornado with estimated maximum winds near 95 mph touched down just south of County Road 345 on the west side of Winona. There, it lofted a small metal outbuilding, throwing it across the road, while also uprooting a tree. It continued on to clip the Winona Independent School District campus, where it lifted a training sled as it crossed the football field and damaged the roof of a dugout. The tornado just missed hitting the school buildings by only around 200 yards. The tornado continued on to hit another small metal outbuilding, rolling and destroying it before crossing FM 16. The tornado then paralleled Hussey Circle, downing several more large branches and snapping a large tree which fell into a home. Additional hardwood trees were uprooted as it crossed County Road 155, where the tornado reached its widest point before lifting shortly thereafter.",1,95,NWS Storm Survey,TX,,,621885,"1053344",Tornado,Supercell
"960",2022/08/24 00:11:00,2022/08/24 00:11:00,20,0.05,0,0,0,Multiple photos were received of a very brief and weak tornado occurring west of Driscoll.,,,Broadcast Media,TX,,,621886,"1055716",Landspout,Multicell
"961",2022/08/24 18:04:00,2022/08/24 18:05:00,25,0.02,0,0,0,"A brief EF0 tornado occurred just north of US 98 in West Hattiesburg. Along with multiple videos of a funnel cloud taken along US 98, an employee from a nearby golf course witnessed debris briefly being lofted and another video showed the tornado passing north of a business on 98 Place. No other damage occurred in the area. The tornado appeared the be the result of the intersection of two low level boundaries enhancing shear and very low cloud bases in the exceptionally moisture-rich environment.",0,65,NWS Storm Survey,MS,,,621887,"1081602",Tornado,Supercell
"962",2022/08/25 16:18:00,2022/08/25 16:18:00,20,0.05,0,0,0,The public recorded a video of a brief weak tornado in an open field near Edroy.,,,Public,TX,,,621888,"1055717",Landspout,Multicell
"963",2022/08/25 23:00:00,2022/08/25 23:02:00,10,0.05,0,0,0,A landspout was spotted near the Los Reales landfill on the south side of Tucson. It was nearly stationary before it dissipated.,0,,Public,AZ,,,621889,"1055021",Landspout,Multicell
"964",2022/08/26 18:18:00,2022/08/26 18:29:00,50,3.06,0,0,0,Photos submitted to NWS of a tornado on the backside of a single supercell near Ft. Belknap Reservation. Official indicated that the tornado was south of Ft Belknap Agency and near Wild Horse Butte. No known damage was been reported or observed.,0,,Tribal Official,MT,,,621890,"1052856",Tornado,Supercell
"965",2022/08/26 21:24:00,2022/08/26 21:25:00,10,0.25,0,0,,A waterspout developed over Prien Lake and drifted to shore. The LCH ATC tower first reported the event.,0,,Other Federal Agency,LA,,,621891,"1053337",Landspout,Multicell
"966",2022/08/28 01:36:00,2022/08/28 01:38:00,100,0.85,0,0,500000,"A NWS Storm Survey concluded that an EF0 tornado touched down near the intersection of Jacquara Avenue and 161st Street West, and moved north-northeast across Crystal Lake, and then lifted near Crystal Beach. Several homes had damage (mainly roof damage) which occurred as multiple large trees were either uprooted or blown down along the tornado's path. The maximum width was 100 yards with a peak wind of 75 mph.",0,75,NWS Storm Survey,MN,,,621892,"1042933",Tornado,QLCS
"967",2022/08/28 01:40:00,2022/08/28 01:42:00,100,0.37,0,0,750000,"A NWS Storm Survey concluded that an EF0 tornado touched down near Germane Avenue and 128th Street, or around Hidden Ponds, and Cedar Valley Apartments and moved northeast across 127th Street West. This tornado continued to move northeast before lifting between 126th and 125th Street along Genesee Avenue. This tornado uprooted or blew down numerous large trees along its path. Structural damage (mainly roof damage) occurred to apartment complexes, mobile homes, and single family homes between 128th and 125th Street. Maximum wind speeds were 85 mph with a width of 100 yards.",0,80,NWS Storm Survey,MN,,,621893,"1043993",Tornado,QLCS
"968",2022/08/28 01:47:00,2022/08/28 01:49:00,150,0.75,0,0,750000,"A NWS Storm Survey concluded that a brief EF0 tornado formed in a wooded area between Timbershore Lane and Tananger Circle, south of Duckwood Drive in Eagan, Minnesota. Most of the damage occurred in this area, with large hardwood trees uprooted or blown down. Several of the large trees landed on roofs, sheds and fences in this residential neighborhood. The damage path became more disorganized as the tornado lifted near Lexington, and Yankee Doodle Road where a few large pine trees were uprooted. Damage indicators showed that up to 85 mph winds occurred, with a path width of 150 yards.",0,85,NWS Storm Survey,MN,,,621894,"1044308",Tornado,QLCS
"969",2022/08/28 01:55:00,2022/08/28 01:57:00,50,0.26,0,0,100000,"A NWS Storm Survey concluded that a brief EF0 tornado formed near Thompson Avenue East, and Oakdale Avenue and moved north-northeast across a residential neighborhood between Thompson Avenue and Christensen Avenue in West St. Paul. Several large trees were uprooted or blown down in this area with a maximum width of 50 yards, and a maximum speed of 85 mph. Most of the trees landed in open areas with little roof or property damage.",0,80,NWS Storm Survey,MN,,,621895,"1044313",Tornado,QLCS
"970",2022/08/28 01:59:00,2022/08/28 02:04:00,100,3.46,0,0,750000,"A tornado touched down just southeast of the intersection of I-94 and Highways 10/61 and moved north-northeast. It tracked just east of Harding High School, crossing White Bear Avenue near Case Avenue, and continuing beyond Larpenteur Avenue, then dissipated near Goodrich Park in Maplewood. The tornado uprooted or broke dozens of trees, with some falling on sheds, houses, and a few vehicles.",0,75,NWS Storm Survey,MN,,,621896,"1044316",Tornado,QLCS
"971",2022/08/28 21:35:00,2022/08/28 21:40:00,50,0.17,0,0,0,Images and videos showed a nearly stationary landspout over an open area north of Lake Tamarisk Desert Resort in Desert Center. No damage or injuries were reported.,,,Trained Spotter,CA,,,621897,"1054681",Landspout,Multicell
"972",2022/08/29 01:05:00,2022/08/29 01:08:00,25,0.86,0,0,,"Storm chaser video showed the tornado touched down in a field in Chippewa County and hit a tree, taking down large branches. It continued moving across a bean field, then moved across a road and tracked into Kandiyohi County, where it entered a corn field and eventually dissipated.",0,70,Storm Chaser,MN,,,621898,"1051049, 1044207",Tornado,Supercell
"973",2022/08/29 21:29:00,2022/08/29 21:35:00,30,1.72,0,0,0,A weak landspout was videotaped by a local storm chaser.,0,,Storm Chaser,KS,,,621899,"1043579",Landspout,Multicell
"974",2022/08/31 20:29:00,,,,,,,,,,,KS,,,,,Landspout,Multicell
"975",2022/08/31 20:58:00,,,,,,,,,,,KS,,,,,Landspout,Multicell
"976",2022/09/04 21:44:00,2022/09/04 21:45:00,15,0.07,0,0,12000,"A brief EF-0 tornado with estimated peak winds of 80 mph occurred just east of Southern Park Mall in Boardman, OH based on video evidence and a NWS storm damage survey. The tornado began just east-southeast of the intersection of York Avenue and California Avenue, where a telephone pole was bent-over toward the north. As the tornado moved north-northeastward, it struck a strip mall building, where the awning and portion of the roof were ripped-off. The tornado also caused minor tree limb damage and blew-over a wooden fence before dissipating.",0,80,NWS Storm Survey,OH,,,621900,"1056412",Tornado,Supercell
"977",2022/09/10 05:21:00,2022/09/10 05:23:00,125,0.68,0,0,,"A NWS storm survey team confirmed that a brief EF-0 tornado occurred near Highway 17 in Mount Pleasant. The weak and short-lived tornado touched down on Zacoma Drive and traveled north-northwest and dissipated near the intersection of Highway 17 and Lieben Road. Damage was mostly confined to small trees and large limbs, but there was some minor roof damage to a Mount Pleasant Public Works building off of Lieben Road. Damage was limited to a small area along Zacoma Drive, Ty Lane, Tower Drive, and Lieben Road. The damage pattern in this area was consistent with an EF-0 tornado with maximum estimated winds around 70 mph.",0,70,NWS Storm Survey,SC,,,621901,"1058011",Tornado,Supercell
"978",2022/09/13 18:00:00,2022/09/13 18:07:00,10,0.1,0,0,0,A land-spout tornado was on the ground briefly south of the Little Colorado River. Dust from the ground was lofted into the air.,0,,Public,AZ,,,621902,"1055637",Landspout,Multicell
"979",2022/09/14 00:45:00,2022/09/14 00:50:00,10,7.71,0,0,0,A tornado formed and traveled along the leading edge of a thunderstorm outflow boundary.,0,,Public,AZ,,,621903,"1055638",Tornado,Multicell
"980",2022/09/19 05:28:00,2022/09/19 05:34:00,30,2.97,0,0,,"A tornado touched down on the southwest side of LeRoy at 12:28am CDT, knocking a power pole onto a mobile home and a tree onto another mobile home. The tornado tracked southeastward through the southern part of town doing minor tree damage, causing partial roof damage to two duplexes, and tipping over two semis on I-74. It continued southeastward, partially damaging a roof 2.5 miles southeast of LeRoy before dissipating in a field about 3.5 miles southeast of LeRoy at 12:34am CDT.",0,85,NWS Storm Survey,IL,,,621904,"1056652",Tornado,Supercell
"981",2022/09/19 23:33:00,2022/09/19 23:38:00,150,1.85,0,0,55000,"The National Weather Service in Binghamton NY confirmed with a storm survey, that a tornado descended upon the Wayland area of Steuben County New York from 733 to 738 PM Monday evening, September 19, 2002. During the survey, convergent tree damage indicative of a tornado was found starting around Buffalo Street just to the west-northwest of Wayland. This included a few trunk snaps, several uprooted trees, and numerous downed large branches. The defined narrow path of mostly tree damage continued to the east-southeast, including through the south side of Wayland itself, where winds are estimated to have reached to 90 mph before the tornado dissipated about a half mile southeast of the center of Wayland. This included a vehicle impaled by a large branch, an eyewitness account of another vehicle being moved several inches sideways on the roadway, and clean trunk snaps of two large softwood trees. Some roof damage occurred to a few residences due to being struck by trees or large branches blown around by the tornado. Other damage included collapsed fences and a crushed backyard swimming pool.",1,90,NWS Storm Survey,NY,,,621905,"1055994",Tornado,Supercell
"982",2022/09/22 19:03:00,2022/09/22 19:05:00,20,0.1,0,0,0,"A landspout tornado formed briefly about 10 miles north of Lake Valley, NM near State Road 371. No injuries or damage occurred with this storm.",,,Broadcast Media,NM,,,621906,"1047728",Landspout,Multicell
"983",2022/09/25 21:38:00,2022/09/25 21:41:00,150,2.29,0,0,85000,"The National Weather Service in Binghamton NY confirmed with a storm survey, that a tornado moved through the Walton area on the evening of September 25th between 6:38 PM to 6:41 PM. During the survey, tornado damage was first noted along Walton Mountain Rd where trees fell in a convergent pattern. Talking to several residents, winds came from multiple directions, with lawn furniture and part of a deck railing blown northwest while trees in the back yard were blown down facing southwest. Sporadic tree damage was followed down to route 10 to an autoshop with some metal sheeting ripped off of the roof and thrown about a 100 yards. From there the damage picked back up across the West Branch of the Delaware River along S River Rd. Sporadic tree damage continued along the south shore of the river to just south of S river Rd with the worst tree damage occurring near the end of the tornado's track. Up until this section, the damage from the tornado was EF0. Many large trees were snapped or uprooted and fell in a cross stitch pattern for a section of forest that was about 300 yards long and 50 yards wide where the EF1 damage was found.",1,95,NWS Storm Survey,NY,,,621907,"1055997",Tornado,Supercell
"984",2022/09/26 03:17:00,2022/09/26 03:20:00,75,2.1,0,0,100000,"A National Weather Service storm survey team, in coordination with Suffolk County Fire Rescue and Emergency Services has confirmed an EF0 tornado in the Mattituck area of Suffolk County NY.
Based on analysis of the storm survey findings and OKX dual pol radar reflectivity, velocity and derived data (including a tornadic debris signature), it was determined that an EF0 tornado first touched down at Juniper Hill farms around 1117 pm, damaging a greenhouse and downing a couple of large trees on the property.
The tornadic circulation likely lifted or skipped along as it tracked east northeast across a one mile stretch of remote wooded area, before touching down and shearing several tree tops and large limbs in the vicinity of Cottage Way, Walnut Place, and Lipco Road, between Sound Avenue and Old Sound Avenue. Peripheral straight line wind damage to a large tree was noted near Shirley Road and Horton Avenue to the north of Sound Avenue as well.
The tornadic circulation likely skipped east northeast in the vicinity of Old Sound Avenue/Main Street over Love Lane and Wickham Avenue with spotty tree damage noted, before definitively touching down once again between Wickham Ave and Mary's Road to the north of Pike Street, with a large maple tree sheared a few feet from its base, minor siding and roof damage, and leaf splatter on the west and south sides of homes. This most prominent damage path, about 50 to 75 yards in width, continued across Mary's Road, where 3 evergreen trees were snapped at their base in a convergent pattern (the 2 southernmost trees laying in a northeast direction and the northernmost tree laying in a southeast direction). The tornado continued eastward across the Mattituck-Cutchogue Jr/Sr high school track, twisting and damaging a large scoreboard, overturning metals benches, and laying down a 100 ft section of wind fence on the north side of the adjacent tennis courts in a northerly direction (again consistent with a convergent wind pattern). The tornado then continued east over the high school, ripping up large sections of asphalt roofing material over one of the main buildings. The damage across the high school grounds was the most severe along the path, consistent with tornadic winds of 75 to 85 mph.
The tornado then exited east over an area of homes on Village Lane, causing significant tree and fence damage to several homes, before likely lifting around 1120 pm as the rotating storm continued eastward over the farm fields and vineyards that lay to the east. No visible damage was noted to the east of this point, marking the presumed end of the tornado path.",0,85,NWS Storm Survey,NY,,,621908,"1057615",Tornado,Supercell
"985",2022/09/27 19:48:00,2022/09/27 19:58:00,100,5.18,0,0,0,Tornado over the Everglades of far NW Miami-Dade County was confirmed by doppler radar tornado debris signature.,,,Official NWS Observations,FL,,,621909,"1057195",Tornado,Tropical Cyclone
"986",2022/09/27 21:10:00,2022/09/27 21:10:00,50,0.02,0,0,0,Tornado over the Everglades of Mainland Monroe County near Loop Road was confirmed by doppler radar tornado debris signature.,,,Official NWS Observations,FL,,,621910,"1057197",Tornado,Tropical Cyclone
"987",2022/09/27 22:13:00,2022/09/27 22:13:00,50,0.1,0,0,3000,Picture received via social media of tree damage in the Fountainbleau area near the Dolphin Expressway and Galloway Road. Radar data indicated the likelihood of a small tornado in the area. Tree damage in Doral a few minutes after this event likely came from the same parent storm.,0,,Social Media,FL,,,621911,"1057191",Tornado,Tropical Cyclone
"988",2022/09/27 22:22:00,2022/09/27 22:22:00,50,0.15,0,0,3000,Several trees were significantly damaged by a brief tornado next to the city of Doral Police Training complex. Damage to the SE in the Fountainbleau area a few minutes earlier likely came from the same parent storm.,0,,Emergency Manager,FL,,,621912,"1057192",Tornado,Tropical Cyclone
"989",2022/09/27 23:17:00,2022/09/27 23:25:00,150,5.73,0,0,2000000,"A tornado touched down at North Perry Airport (HWO), causing EF-1 damage to 20 general aviation aircraft, including several which flipped over, damage to 50 feet of fencing, and minor damage to hangar doors and structures. The tornado crossed Pines Boulevard near the University Drive intersection, passing over the College Plaza and Pembroke Commons shopping centers and causing mainly EF-0 damage to signs and trees. It then continued moving NW into the Pasadena Lakes neighborhood where it intensified into the high-end EF-0 range, with many large tree branches broken, minor roof damage to two houses, and windows broken at Pasadena Lakes Elementary School. The tornado caused EF-1 damage to a Publix at the corner of Sheridan Street and Pine Island Road where the front glass sliding doors were broken off their hinges. It continued NW through Brian Piccolo Park in Cooper City, uprooting a large tree near the corner of Palm Avenue and Griffin Road before lifting just north of Griffin Road.",1,95,NWS Storm Survey,FL,,,621913,"1057165",Tornado,Tropical Cyclone
"990",2022/09/27 23:51:00,2022/09/28 00:07:00,75,7.44,0,0,5000,"A tornado touched down in the 4800 block of Jefferson Street in Hollywood, breaking off large tree branches. A well defined tornado debris signature (TDS) was observed on doppler radar as the tornado moved NW across portions of Hollywood, crossing the Florida Turnpike near Stirling Road. Trees were uprooted west of the Turnpike near and south of the Broward College central campus in Davie, before lifting near the intersection of University Drive and I-595 in Davie.",0,80,Emergency Manager,FL,,,621914,"1057167",Tornado,Tropical Cyclone
"991",2022/09/28 00:59:00,2022/09/28 01:17:00,200,6.98,0,2,,"A strong tornado affected portions of Boca Raton and unincorporated Delray Beach on the evening of September 27th, 2022. The beginning of the identified damage was at the Florida Atlantic University Campus in Boca Raton, where siding was torn off of a building. Doppler radar showed evidence of strong rotation along the track, however damage reports are unavailable for the remainder of the Boca Raton portion of the track. EF-0 damage was noted at the American Heritage School just south of Linton Blvd where trees were uprooted and fences were damaged.
The tornado intensified after crossing Linton Blvd and entered the Kings Point community. Considerable damage to condominium buildings, trees, and vehicles was noted. EF-1 and EF-2 damage was common in Kings Point. The roof was completely lifted off of a small two-story building complex, with an adjacent larger two-story building complex having about 25% of its roof lifted. Several palm trees were snapped at the middle, and one of the snapped palm trees crashed into a second story unit and tore a large hole into the wall. A few cars were flipped and moved, and many large tree branches were snapped at the top of the tree canopies.
In Kings Point, 2 people were injured in their homes when their roof collapsed. One person was rescued from her bathroom after her roof collapsed. A total of about 30 people were evacuated.
Just north of the Kings Point community, large tree branches were broken off trees at a Home Depot parking lot at Jog Road and Atlantic Avenue. The tornado continued north of Atlantic Avenue and entered the Villages of Oriole where EF-1 damage was observed to a few homes, mainly in the form of roof uplift and loss of roof covering/shingles. The tornado lifted in the area of Jog Road and N. Oriole Blvd.",2,130,NWS Storm Survey,FL,,,621915,"1057163",Tornado,Tropical Cyclone
"992",2022/09/28 01:22:00,2022/09/28 01:30:00,150,7.48,0,0,200000,"Tornado began in Wellington just north of Greenbriar Park, causing EF-0 to EF-1 damage in the form of torn roof tiles and many broken tree branches in the Wanderer's Golf Course community. The tornado moved northwest into the Lakefield West and Meadow Wood of the Landings communities, causing minor roof damage before crossing Flying Cow Ranch Road and moving over open land south of Southern Boulevard.
Damage totals are estimated based on at least 2 dozen homes sustaining roof damage.
The tornado crossed Southern Boulevard near Lion Country Safari Road, causing significant tree damage, then passed just west of Lion Country Safari into Loxahatchee where tree trunks were snapped in the Buck Ridge Trail and Hanover Circle area. The last reported damage was fence damage at Hanover Circle and Duellant Road.",1,95,Emergency Manager,FL,,,621916,"1057171",Tornado,Tropical Cyclone
"993",2022/09/28 01:30:00,2022/09/28 01:36:00,100,1.39,0,0,50000,A brief tornado moved through western sections of Loxahatchee at around the same time that another tornado was occurring in the same general area west of Lion Country Safari. The tornado started near Dellwood Road and produced EF1 tree damage as well as roof damage to a single family home. The last damage point available was along Capet Creek Court where significant damage to the roof of a stable was observed. Damage amount is estimated.,1,100,Trained Spotter,FL,,,621917,"1057173",Tornado,Tropical Cyclone
"994",2022/09/28 04:40:00,2022/09/28 04:42:00,100,2.83,0,0,0,Tornado over the Everglades of NW Broward County was confirmed by doppler radar tornado debris signature.,,,Official NWS Observations,FL,,,621918,"1057196",Tornado,Tropical Cyclone
"995",2022/09/28 05:31:00,2022/09/28 05:32:00,50,0.06,0,0,10000,"A tornado affected two blocks of the Sunshine Village manufactured home community in Davie near SW 136 Avenue and I-595. Damage was relatively minor, mainly to siding, gutters, awnings, and trees. Damage totals are estimated.",0,,NWS Storm Survey,FL,,,621919,"1057194",Tornado,Tropical Cyclone
"996",2022/09/28 06:25:00,2022/09/28 06:33:00,75,1.09,0,0,50000,"A tornado moved NW over portions of Moore Haven early Wednesday morning, September 28th. First signs of damage was tree damage near Park Avenue and Yaun Road, with siding and panel damage to a home on Park Avenue, as well as two storage trailers tipped near the Sportsman Village on Daniels Road next to the US 27 bridge. The damage path ended near the Moore Haven Yacht Club where siding damage to homes were observed. Damage is consistent with the higher end of the EF-0 scale. Damage totals are estimated.",0,85,Emergency Manager,FL,,,621920,"1057172",Tornado,Tropical Cyclone
"997",2022/09/28 09:56:00,2022/09/28 09:56:00,50,0.2,0,0,2000,Brief tornado occurred in Boynton Beach near I-95 and Boynton Beach Boulevard. Damage was minor and confined to trees and a fence. There was an unconfirmed report of damage to the city hall building in the town of Gulf Stream which may be from this parent storm.,0,75,Public,FL,,,621921,"1057174",Tornado,Tropical Cyclone
"998",2022/09/28 19:32:00,2022/09/28 19:46:00,100,3,0,0,0,A trained spotter and storm chaser sent video of a short-duration tornado that touched down to the south of US-192 near Deer Park. The tornado lifted once it crossed and moved north of the highway before it touched down briefly a second time to the east of Deer Park Rd. No structures were present in the area of the touchdown and only minimal damage occurred to trees and vegetation. The tornado was embedded within an outer rainband ahead of Hurricane Ian.,0,,Trained Spotter,FL,,,621922,"1058585",Tornado,Tropical Cyclone
"999",2022/09/30 16:25:00,2022/09/30 16:28:00,20,0.74,0,0,,The tornado developed in the vicinity of Ocean Blvd W just east of Highpoint St. It primarily impacted a small community situated along canals just north of Ocean Blvd W between Highpoint St and Greensboro St where it was observed by several residents. The tornado caused minor siding and roof damage in this area. It also lifted a large porch off its foundation on one home. Overall there were approximately a dozen homes impacted. The tornado likely dissipated across a marshy area just west of Greensboro St.,0,70,NWS Storm Survey,NC,,,621923,"1057084",Tornado,Tropical Cyclone
"1000",2022/09/30 19:22:00,2022/09/30 19:23:00,12,0.52,0,0,0,"A storm survey crew traveled to Beaufort County to verify tornado damage, though area of interest was inaccessible to vehicles. After viewing before and after high resolution satellite images utilizing Sentinelhub, we determined a half mile long damage swath occurred in an uninhabited location with a damage scar visible in a large farm field.",,,NWS Storm Survey,NC,,,621924,"1055867",Tornado,Tropical Cyclone
"1001",2022/10/03 19:37:00,2022/10/03 19:52:00,30,0.7,0,0,350000,A tornado touched down about 8 miles west-northwest of Williams in the Junipine Estates neighborhood. Ten 10 structures were damaged and or destroyed (homes and outbuildings). One power poll was blown down and the power was out in the entire community. Camping trailers/mobile homes were turn over. Some rooves were blown off houses.,1,95,Law Enforcement,AZ,,,621925,"1055701",Tornado,Supercell
"1002",2022/10/08 21:25:00,2023/10/08 21:32:00,50,1.56,0,0,0,An EF-0 landspout occurred from Menifee to Southern Canyon Lake along Highway 78. The landspout tracked across mostly open space before dissipating near I-15. Minor damage reported. Half inch hail was also reported.,0,,Public,CA,,,621926,"1059255",Landspout,Multicell
"1003",2022/10/12 16:13:00,2022/10/12 16:14:00,25,0.48,0,0,0,Path was initially observed using the combination of radar data and Sentinel satellite data.  The following ground survey found the damage to a few trees with the main path going through a yet to be combined corn field.,0,65,NWS Storm Survey,WI,,,621927,"1053432",Tornado,QLCS
"1004",2022/10/12 16:18:00,2022/10/12 16:19:00,25,0.44,0,0,0,Path was initially found using a combination of radar data and Sentinel satellite information.  Ensuing ground survey found the entry and exit points of the damage to a yet to be combined corn field along with some minor tree damage at the beginning of the path.,0,65,NWS Storm Survey,WI,,,621928,"1053433",Tornado,QLCS
"1005",2022/10/12 16:42:00,2022/10/12 16:43:00,25,0.79,0,0,0,Path initially detected by a combination of radar data and Sentinel satellite information.  Ensuing ground survey found the damage path through a yet to be combined corn field with damage points to a horse fence along with some minor tree damage.,0,65,NWS Storm Survey,WI,,,621929,"1053434",Tornado,QLCS
"1006",2022/10/12 16:45:00,,,,,,,,,,,WI,,,,,Tornado,QLCS
